Filename                                 MP2/aVTZ
079_LiCl-Cl_1.30                       -22.036876
079_LiCl-Cl_1.40                       -19.652883
079_LiCl-Cl_1.50                       -17.097320
079_LiCl-Cl_2.00                        -7.726194
080_LiBr-Li_1.00                       -35.322820
080_LiBr-Li_1.10                       -37.317944
080_LiBr-Li_1.20                       -35.220677
080_LiBr-Li_1.30                       -31.527235
080_LiBr-Li_1.40                       -27.435752
080_LiBr-Li_1.50                       -23.504003
080_LiBr-Li_2.00                       -10.371624
081_LiBr-Br_1.00                       -15.463231
081_LiBr-Br_1.10                       -21.254730
081_LiBr-Br_1.20                       -22.135427
081_LiBr-Br_1.30                       -20.781663
081_LiBr-Br_1.40                       -18.544554
081_LiBr-Br_1.50                       -16.098665
081_LiBr-Br_2.00                        -7.107037
082_NaF-Na_1.00                        -30.004505
082_NaF-Na_1.10                        -32.880742
082_NaF-Na_1.20                        -31.434791
082_NaF-Na_1.30                        -28.419608
082_NaF-Na_1.40                        -25.010148
082_NaF-Na_1.50                        -21.708313
082_NaF-Na_2.00                        -10.312884
083_NaF-F_1.00                         -26.213424
083_NaF-F_1.10                         -29.036572
083_NaF-F_1.20                         -27.712287
083_NaF-F_1.30                         -24.930452
083_NaF-F_1.40                         -21.823731
083_NaF-F_1.50                         -18.856823
083_NaF-F_2.00                          -8.892280
084_NaCl-Na_1.00                       -29.797073
084_NaCl-Na_1.10                       -31.686767
084_NaCl-Na_1.20                       -29.688166
084_NaCl-Na_1.30                       -26.335034
084_NaCl-Na_1.40                       -22.749822
084_NaCl-Na_1.50                       -19.403195
084_NaCl-Na_2.00                        -8.712788
085_NaCl-Cl_1.00                       -21.991619
085_NaCl-Cl_1.10                       -24.778944
085_NaCl-Cl_1.20                       -23.592424
085_NaCl-Cl_1.30                       -20.984559
085_NaCl-Cl_1.40                       -18.082801
085_NaCl-Cl_1.50                       -15.353935
085_NaCl-Cl_2.00                        -6.729257
086_NaBr-Na_1.00                       -29.538210
086_NaBr-Na_1.10                       -31.264260
086_NaBr-Na_1.20                       -29.162605
086_NaBr-Na_1.30                       -25.747399
086_NaBr-Na_1.40                       -22.134058
086_NaBr-Na_1.50                       -18.786012
086_NaBr-Na_2.00                        -8.285245
087_NaBr-Br_1.00                       -20.662487
087_NaBr-Br_1.10                       -23.548618
087_NaBr-Br_1.20                       -22.461964
087_NaBr-Br_1.30                       -19.943053
087_NaBr-Br_1.40                       -17.122194
087_NaBr-Br_1.50                       -14.469625
087_NaBr-Br_2.00                        -6.190524
088_KF-K_1.00                          -21.938879
088_KF-K_1.10                          -26.082463
088_KF-K_1.20                          -25.365291
088_KF-K_1.30                          -22.892182
088_KF-K_1.40                          -20.009362
088_KF-K_1.50                          -17.234525
088_KF-K_2.00                           -7.967391
089_KF-F_1.00                          -24.412350
089_KF-F_1.10                          -27.520224
089_KF-F_1.20                          -26.183211
089_KF-F_1.30                          -23.348510
089_KF-F_1.40                          -20.262926
089_KF-F_1.50                          -17.394190
089_KF-F_2.00                           -8.126410
090_KCl-K_1.00                         -22.714579
090_KCl-K_1.10                         -26.026638
090_KCl-K_1.20                         -24.784362
090_KCl-K_1.30                         -22.017513
090_KCl-K_1.40                         -18.970406
090_KCl-K_1.50                         -16.123229
090_KCl-K_2.00                          -7.179881
091_KCl-Cl_1.00                        -20.953411
091_KCl-Cl_1.10                        -23.888656
091_KCl-Cl_1.20                        -22.575679
091_KCl-Cl_1.30                        -19.905619
091_KCl-Cl_1.40                        -17.045273
091_KCl-Cl_1.50                        -14.418398
091_KCl-Cl_2.00                         -6.336879
092_KBr-K_1.00                         -22.911860
092_KBr-K_1.10                         -25.886581
092_KBr-K_1.20                         -24.491264
092_KBr-K_1.30                         -21.664439
092_KBr-K_1.40                         -18.597522
092_KBr-K_1.50                         -15.752078
092_KBr-K_2.00                          -6.927879
093_KBr-Br_1.00                        -20.208025
093_KBr-Br_1.10                        -22.987065
093_KBr-Br_1.20                        -21.648164
093_KBr-Br_1.30                        -19.015994
093_KBr-Br_1.40                        -16.212135
093_KBr-Br_1.50                        -13.646625
093_KBr-Br_2.00                         -5.876568
