Filename                                   AMOEBA
120_K-Water_Cls_051                    -66.280629
120_K-Water_Cls_052                    -65.189297
120_K-Water_Cls_053                    -73.772644
120_K-Water_Cls_054                    -58.758228
120_K-Water_Cls_055                    -64.449292
120_K-Water_Cls_056                    -64.806704
120_K-Water_Cls_057                    -59.154984
120_K-Water_Cls_058                    -68.232566
120_K-Water_Cls_059                    -60.667104
120_K-Water_Cls_060                    -49.468640
120_K-Water_Cls_061                    -61.858692
120_K-Water_Cls_062                    -44.010594
120_K-Water_Cls_063                    -58.870139
120_K-Water_Cls_064                    -58.351214
120_K-Water_Cls_065                    -67.792240
120_K-Water_Cls_066                    -42.742366
120_K-Water_Cls_067                    -60.687806
120_K-Water_Cls_068                    -61.185841
120_K-Water_Cls_069                    -60.854671
120_K-Water_Cls_070                    -50.792533
120_K-Water_Cls_071                    -58.646662
120_K-Water_Cls_072                    -38.728977
120_K-Water_Cls_073                    -58.831394
120_K-Water_Cls_074                    -50.411292
120_K-Water_Cls_075                    -61.011910
120_K-Water_Cls_076                    -58.450014
120_K-Water_Cls_077                    -50.655100
120_K-Water_Cls_078                    -69.526165
120_K-Water_Cls_079                    -53.803445
120_K-Water_Cls_080                    -52.030800
120_K-Water_Cls_081                    -51.538992
120_K-Water_Cls_082                    -52.154918
120_K-Water_Cls_083                    -48.181961
120_K-Water_Cls_084                    -46.500044
120_K-Water_Cls_085                    -60.355716
120_K-Water_Cls_086                    -45.409781
120_K-Water_Cls_087                    -65.602102
120_K-Water_Cls_088                    -65.828296
120_K-Water_Cls_089                    -54.174227
120_K-Water_Cls_090                    -51.427166
120_K-Water_Cls_091                    -67.135376
120_K-Water_Cls_092                    -58.509541
120_K-Water_Cls_093                    -58.140938
120_K-Water_Cls_094                    -45.578795
120_K-Water_Cls_095                    -52.570368
120_K-Water_Cls_096                    -53.361835
120_K-Water_Cls_097                    -71.151298
120_K-Water_Cls_098                    -63.983998
120_K-Water_Cls_099                    -54.590585
121_F-Water_Cls_000                    -75.374445
121_F-Water_Cls_001                    -88.317800
121_F-Water_Cls_002                    -87.234901
121_F-Water_Cls_003                    -89.545095
121_F-Water_Cls_004                    -80.559691
121_F-Water_Cls_005                    -91.433130
121_F-Water_Cls_006                    -78.670868
121_F-Water_Cls_007                    -84.351875
121_F-Water_Cls_008                    -90.832655
121_F-Water_Cls_009                    -88.577765
121_F-Water_Cls_010                    -73.836488
121_F-Water_Cls_011                    -82.250689
121_F-Water_Cls_012                    -69.886289
121_F-Water_Cls_013                    -97.801939
121_F-Water_Cls_014                    -82.639225
121_F-Water_Cls_015                    -82.466047
121_F-Water_Cls_016                    -80.531091
121_F-Water_Cls_017                    -92.823823
121_F-Water_Cls_018                    -69.969784
121_F-Water_Cls_019                    -84.389013
121_F-Water_Cls_020                    -85.141642
